#TOP	Genes more expressed in NGT class
#BOTTOM	      Genes more expressed in DM2/IGT class
209370_s_at	1.8746491671
217552_x_at	1.8710230589
221000_s_at	1.8694733381
204723_at	1.8685554266
215314_at	1.8682515621
205976_at	1.8673804998
221614_s_at	1.8669375181
204360_s_at	1.8665755987
212806_at	1.8658612967
212725_s_at	1.8653035164
204336_s_at	1.8650423288
36907_at	1.8646028042
203209_at	1.8644961119
219646_at	1.8638966084
206659_at	1.8637702465
204512_at	1.8635072708
217728_at	1.8629603386
201180_s_at	1.8622400761
204263_s_at	1.861754775
202625_at	1.8613723516
218732_at	1.8607496023
207142_at	1.8600649834
221051_s_at	1.8589326143
202484_s_at	1.8587086201
212900_at	1.8570070267
211628_x_at	1.856277585
218756_s_at	1.8550692797
203104_at	1.8548195362
213156_at	1.854501605
204912_at	1.8544560671
213570_at	1.853523016
214718_at	1.8532639742
41329_at	1.8524296284
220327_at	1.8519235849
212897_at	1.8515859842
215770_at	1.8514662981
218164_at	1.851236701
218882_s_at	1.8510537148
222139_at	1.8509061337
218386_x_at	1.8505626917
211055_s_at	1.8492844105
218190_s_at	1.8484472036
205184_at	1.8479965925
212095_s_at	1.8474457264
218510_x_at	1.8473600149
214683_s_at	1.8463641405
202821_s_at	1.8454250097
202733_at	1.8449829817
222180_at	1.8447682858
207064_s_at	1.8442893028
212366_at	1.8438624144
205109_s_at	1.8436108828
222358_x_at	1.8418687582
205761_s_at	1.8398644924
213941_x_at	1.8394306898
216203_at	1.8384221792
215299_x_at	1.8384157419
209682_at	1.8383150101
211347_at	1.8362643719
206001_at	1.8361433744
209445_x_at	1.8347045183
204481_at	1.8346093893
215411_s_at	1.8343589306
208745_at	1.8329148293
206770_s_at	1.8326743841
220518_at	1.8316701651
209841_s_at	1.8308922052
215786_at	1.8303098679
218776_s_at	1.8302768469
212465_at	1.8297442198
208856_x_at	1.8287243843
200709_at	1.8284225464
204111_at	1.8282939196
205003_at	1.8270045519
205389_s_at	1.8268295527
203836_s_at	1.8256709576
204690_at	1.8254646063
74694_s_at	1.825170517
221126_at	1.824229002
204246_s_at	1.8238037825
48106_at	1.8234324455
202914_s_at	1.8215874434
205079_s_at	1.8214058876
205998_x_at	1.8212127686
209833_at	1.8207918406
215943_at	1.8118761778
217733_s_at	1.8114360571
206957_at	1.8112356663
201573_s_at	1.8110073805
214464_at	1.810646534
217882_at	1.8102782965
219665_at	1.8101222515
209887_at	1.8096605539
216248_s_at	1.8090491295
219114_at	1.8085308075
218893_at	1.8074861765
218201_at	1.806773901
215376_at	1.8065956831
211178_s_at	1.8063230515
217123_x_at	1.8061243296
220912_at	1.8056511879
219438_at	1.8048926592
203025_at	1.8045557737
206361_at	1.8038043976
221346_at	1.802396059
213377_x_at	1.801507473
213185_at	1.8006569147
214703_s_at	1.8001564741
202629_at	1.7999544144
208056_s_at	1.7986624241
214536_at	1.797237277
213282_at	1.7958650589
56256_at	1.7954826355
213418_at	1.7951123714
200017_at	1.7948938608
217629_at	1.7945373058
210640_s_at	1.7944267988
219556_at	1.7938976288
202403_s_at	1.7937953472
222303_at	1.793772459
219746_at	1.7935744524
204047_s_at	1.7928040028
208353_x_at	1.7891440392
219137_s_at	1.7873368263
221975_s_at	1.7868975401
208051_s_at	1.7859146595
202652_at	1.7855651379
205888_s_at	1.782512784
220718_at	1.7804402113
201134_x_at	1.778280735
214051_at	1.77820611
219186_at	1.7774498463
203799_at	1.7772582769
219936_s_at	1.7769858837
213609_s_at	1.7761669159
203989_x_at	1.7759430408
210216_x_at	1.7746902704
215984_s_at	1.7737914324
220134_x_at	1.7735373974
212387_at	1.772665143
213071_at	1.7726581097
200012_x_at	1.7722181082
220183_s_at	1.7720308304
211621_at	1.771848321
220257_x_at	1.771561861
216720_at	1.7706780434
215282_at	1.7704329491
215066_at	1.7703384161
218543_s_at	1.7699103355
209134_s_at	1.7698563337
205804_s_at	1.7696744204
203538_at	1.7691377401
207316_at	1.7684209347
219079_at	1.7683465481
41397_at	1.7679363489
1007_s_at	1.7670212984
214753_at	1.7668955326
205042_at	1.7663698196
218140_x_at	1.7660540342
212738_at	1.7660512924
211180_x_at	1.765781641
208941_s_at	1.7653900385
206998_x_at	1.7652250528
206671_at	1.7651473284
217719_at	1.7646957636
206578_at	1.7643452883
202996_at	1.7641274929
209075_s_at	1.7640609741
200652_at	1.7640581131
205807_s_at	1.7629183531
203714_s_at	1.7628717422
216780_at	1.7608346939
220463_at	1.7590790987
206709_x_at	1.7590143681
212356_at	1.7583713531
205585_at	1.7583491802
209711_at	1.7582662106
202016_at	1.7582337856
219470_x_at	1.7570058107
220541_at	1.7562739849
216524_x_at	1.7559640408
213434_at	1.755939126
205818_at	1.7556384802
209222_s_at	1.7554345131
211357_s_at	1.7554228306
219338_s_at	1.7548059225
209373_at	1.7543108463
204063_s_at	1.7539103031
220076_at	1.7536606789
208632_at	1.7532215118
216970_at	1.7507126331
203080_s_at	1.7506892681
217977_at	1.7502946854
219307_at	1.750164032
221481_x_at	1.7500469685
215547_at	1.7496234179
208117_s_at	1.749458313
65438_at	1.7493709326
217717_s_at	1.7486932278
210527_x_at	1.7483158112
211673_s_at	1.7480356693
214424_s_at	1.7467483282
219239_s_at	1.7466933727
216103_at	1.7466635704
39313_at	1.7450835705
200826_at	1.7450712919
220378_at	1.7442464828
